fraction,n_train,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_runtime,dev_samples_per_second,dev_steps_per_second,dev_epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_runtime,test_samples_per_second,test_steps_per_second,test_epoch
0.25,3500,0.3894447982311249,0.872,0.846583850931677,0.9086666666666666,0.8765273311897106,1.9631,1528.215,23.942,3.0,0.37790995836257935,0.873,0.844731977818854,0.914,0.878001921229587,2.1371,1403.762,21.992,3.0
0.5,7000,0.360152006149292,0.8916666666666667,0.8669581511555278,0.9253333333333333,0.8951950983553693,2.0131,1490.243,23.347,3.0,0.3392994701862335,0.898,0.873125,0.9313333333333333,0.9012903225806451,2.0584,1457.464,22.834,3.0
0.75,10500,0.3646916449069977,0.8986666666666666,0.8804071246819338,0.9226666666666666,0.9010416666666666,2.0113,1491.547,23.368,3.0,0.3185303807258606,0.908,0.8878326996197718,0.934,0.9103313840155945,2.0358,1473.635,23.087,3.0
1.0,14000,0.34605520963668823,0.9056666666666666,0.8848829854522454,0.9326666666666666,0.9081467056150601,2.0323,1476.177,23.127,3.0,0.31021004915237427,0.9083333333333333,0.8825733916302311,0.942,0.9113189293776202,2.0695,1449.631,22.711,3.0
